"","IDI","NRI","F_Test","Wilcoxon","Kendall"
"ADNI_MEM",0,2.00728322852228e-13,0,1.28977658751228e-10,1.26705023452609e-10
"ADAS11",6.02184968556685e-13,3.56073203041281e-06,1.71923808522934e-10,2.63756682729579e-08,2.596497808226e-08
"ABETA42",1.24268897394586e-08,2.48451993467569e-06,1.64090051176421e-08,2.63756682729579e-08,2.596497808226e-08
"ADNI_EF",5.3885767172801e-06,0.0036487985450447,1.42112830339158e-05,6.43778220651491e-05,6.35743454231238e-05
"APOE4",2.59492403703376e-05,2.55721160420386e-05,7.84992742470791e-05,0.000513531080376555,0.00028022121005392
"PE.P.18.1.22.4.",7.76489520036468e-05,0.000242306807066939,0.000104746936224013,0.000513531080376555,0.00042817353212253
"LPC.O.20.1.",0.000700733741855229,0.0169290168582904,0.00172149745713668,0.00169271814098645,0.00167454527820965
"LPC.O.18.0.",0.0021548994833815,0.0120125249811924,0.00355724731080819,0.0057444003818799,0.00568734046096945
"PTAU",0.0021548994833815,0.0204919834764286,0.00355724731080819,0.00288329773854472,0.00285347130812503
"AC.18.1.",0.00299869459218964,0.0351916261131349,0.00362076379118843,0.0104371329848063,0.0103387263903528
"LPC.19.1...B.",0.00385958923319956,0.0204919834764286,0.006758754650589,0.0104371329848063,0.0103387263903528
"PE.P.16.0.22.5...N6.",0.00418851336075147,0.0249273595897668,0.00473638117437696,0.0104371329848063,0.0103387263903528
"GM3.D18.1.20.0.",0.00455589281594425,NA,0.00554415458930698,0.0137262779564182,0.0136031829617285
"PC.O.40.5.",0.00497666101711745,0.000325759318511606,0.00843694228378633,0.00288329773854472,0.00285347130812503
"PC.O.18.0.18.1.",0.00548011366127478,0.0494055699275413,0.00843694228378633,0.0105608857154596,0.0104628625233197
"LPC.18.1...SN1.",0.00576330205057574,0.00980143954402711,0.0101234382520625,0.0105608857154596,0.0104628625233197
"GM3.D18.1.22.0.",0.00628032696235109,0.0142038314825392,0.0100926698563144,0.0108960207446963,0.0107960280716382
"TAU",0.00628032696235109,0.0362260340800548,0.00843694228378633,0.0105608857154596,0.0104628625233197
"CE.18.2.",0.00628032696235109,0.0362260340800548,0.0109708269344188,0.0108960207446963,0.0107960280716382
"PE.P.18.1.18.1...B.",0.00653141453127493,0.0284139407575202,0.0101234382520625,0.0105608857154596,0.0104628625233197
"LPC.P.18.0.",0.00716346817857138,0.00980143954402711,0.0112606490352764,0.0104371329848063,0.0103387263903528
"PE.P.18.1.18.2...B.",0.00808208165229963,0.0494055699275413,0.0101234382520625,0.0108960207446963,0.0107960280716382
"PE.P.18.1.20.4...B.",0.0104870499399271,0.0494055699275413,0.0150765627059572,0.0130861130724287,0.0129680752278956
"PC.O.36.0.",0.0104870499399271,0.0284139407575202,0.0112606490352764,0.0169063782555276,0.0167597028284128
"LPC.18.1...SN2.",0.0104870499399271,0.00102314327591024,0.0160233335919985,0.0148480597338527,0.0147172297824028
"AC.24.1.",0.0105691499367371,0.0309024620935261,0.0150765627059572,0.0185108718111338,0.0183516253259247
"AC.18.0.",0.0105691499367371,0.0494055699275413,0.0150765627059572,0.0189169538958742,0.0187563782553325
"LPC.20.1...SN2.",0.0118375223582557,0.0204919834764286,0.0160233335919985,0.0148480597338527,0.0147172297824028
"LPE.P.18.1.",0.0118375223582557,NA,0.0150765627059572,0.0218386315862284,0.0216571104410834
"CE.22.0.",0.0118375223582557,NA,0.0112606490352764,0.0189169538958742,0.0187563782553325
"LPC.P.20.0.",0.0129792577636822,NA,0.0164534129382308,0.0189975028688774,0.0188374278667815
