"","IDI","NRI","F_Test","Wilcoxon","Kendall","hits"
"ADNI_MEM","0.000e+00","2.007e-13","0.000e+00","1.290e-10","1.267e-10",5
"ADAS11","6.022e-13","3.561e-06","1.719e-10","2.638e-08","2.596e-08",5
"ABETA42","1.243e-08","2.485e-06","1.641e-08","2.638e-08","2.596e-08",5
"ADNI_EF","5.389e-06","3.649e-03","1.421e-05","6.438e-05","6.357e-05",5
"APOE4","2.595e-05","2.557e-05","7.850e-05","5.135e-04","2.802e-04",5
"PE.P.18.1.22.4.","7.765e-05","2.423e-04","1.047e-04","5.135e-04","4.282e-04",5
"LPC.O.20.1.","7.007e-04","1.693e-02","1.721e-03","1.693e-03","1.675e-03",5
"LPC.O.18.0.","2.155e-03","1.201e-02","3.557e-03","5.744e-03","5.687e-03",5
"PTAU","2.155e-03","2.049e-02","3.557e-03","2.883e-03","2.853e-03",5
"AC.18.1.","2.999e-03","3.519e-02","3.621e-03","1.044e-02","1.034e-02",5
"LPC.19.1...B.","3.860e-03","2.049e-02","6.759e-03","1.044e-02","1.034e-02",5
"PE.P.16.0.22.5...N6.","4.189e-03","2.493e-02","4.736e-03","1.044e-02","1.034e-02",5
"PC.O.40.5.","4.977e-03","3.258e-04","8.437e-03","2.883e-03","2.853e-03",5
"PC.O.18.0.18.1.","5.480e-03","4.941e-02","8.437e-03","1.056e-02","1.046e-02",5
"LPC.18.1...SN1.","5.763e-03","9.801e-03","1.012e-02","1.056e-02","1.046e-02",5
"GM3.D18.1.22.0.","6.280e-03","1.420e-02","1.009e-02","1.090e-02","1.080e-02",5
"TAU","6.280e-03","3.623e-02","8.437e-03","1.056e-02","1.046e-02",5
"CE.18.2.","6.280e-03","3.623e-02","1.097e-02","1.090e-02","1.080e-02",5
"PE.P.18.1.18.1...B.","6.531e-03","2.841e-02","1.012e-02","1.056e-02","1.046e-02",5
"LPC.P.18.0.","7.163e-03","9.801e-03","1.126e-02","1.044e-02","1.034e-02",5
"PE.P.18.1.18.2...B.","8.082e-03","4.941e-02","1.012e-02","1.090e-02","1.080e-02",5
"PE.P.18.1.20.4...B.","1.049e-02","4.941e-02","1.508e-02","1.309e-02","1.297e-02",5
"PC.O.36.0.","1.049e-02","2.841e-02","1.126e-02","1.691e-02","1.676e-02",5
"LPC.18.1...SN2.","1.049e-02","1.023e-03","1.602e-02","1.485e-02","1.472e-02",5
"AC.24.1.","1.057e-02","3.090e-02","1.508e-02","1.851e-02","1.835e-02",5
"AC.18.0.","1.057e-02","4.941e-02","1.508e-02","1.892e-02","1.876e-02",5
"LPC.20.1...SN2.","1.184e-02","2.049e-02","1.602e-02","1.485e-02","1.472e-02",5
"LPC.16.0...SN1.","1.298e-02","9.801e-03","1.724e-02","1.272e-02","1.261e-02",5
"PC.O.18.0.20.4.","1.310e-02","2.841e-02","1.508e-02","1.485e-02","1.472e-02",5
"PE.P.18.1.22.5...B.","1.327e-02","4.512e-03","1.645e-02","1.485e-02","1.472e-02",5
"PC.O.38.5.","1.327e-02","1.657e-02","1.602e-02","1.892e-02","1.876e-02",5
"CE.22.4.","1.327e-02","3.090e-02","1.645e-02","2.209e-02","2.190e-02",5
"LPC.20.0...SN1.","1.327e-02","1.420e-02","1.684e-02","1.485e-02","1.472e-02",5
"PC.P.20.0.20.4.","1.327e-02","2.049e-02","1.602e-02","1.513e-02","1.500e-02",5
"PC.18.1_18.2.","1.444e-02","2.933e-03","1.645e-02","1.599e-02","1.585e-02",5
"LPC.20.1...SN1.","1.569e-02","2.841e-02","1.791e-02","2.235e-02","2.216e-02",5
"PE.P.18.0.22.4.","2.197e-02","1.657e-02","2.095e-02","3.208e-02","3.182e-02",5
"LPC.O.24.0.","2.542e-02","1.962e-02","2.962e-02","1.900e-02","1.884e-02",5
"PC.16.0_20.3...A.","2.798e-02","2.049e-02","3.382e-02","2.312e-02","2.293e-02",5
"PC.18.0_18.2.","3.066e-02","2.001e-02","4.183e-02","3.728e-02","3.699e-02",5
"LPC.22.0...SN1.","3.066e-02","3.623e-02","3.511e-02","2.290e-02","2.272e-02",5
"LPC.P.18.1.","3.526e-02","2.001e-02","4.333e-02","3.446e-02","3.419e-02",5
"GM1.D18.1.16.0.","3.584e-02","3.090e-02","4.630e-02","3.446e-02","3.419e-02",5
"LPC.O.24.1.","3.724e-02","5.795e-03","4.639e-02","1.900e-02","1.884e-02",5
"AC.16.1..OH","4.122e-02","3.090e-02","4.639e-02","3.064e-02","3.040e-02",5
"PE.P.18.0.22.5...N6.","4.170e-02","1.420e-02","4.333e-02","4.106e-02","4.075e-02",5
"PI.18.0_20.2.","4.289e-02","3.623e-02","4.388e-02","3.940e-02","3.910e-02",5
"PE.P.18.0.18.2.","4.620e-02","2.841e-02","4.639e-02","3.940e-02","3.910e-02",5
"PI..38.5...B.","4.675e-02","3.623e-02","4.716e-02","4.436e-02","4.403e-02",5
"GM3.D18.1.20.0.","4.556e-03","NA","5.544e-03","1.373e-02","1.360e-02",4
"LPE.P.18.1.","1.184e-02","NA","1.508e-02","2.184e-02","2.166e-02",4
"CE.22.0.","1.184e-02","NA","1.126e-02","1.892e-02","1.876e-02",4
"LPC.P.20.0.","1.298e-02","NA","1.645e-02","1.900e-02","1.884e-02",4
"PC.18.1_18.1.","1.310e-02","NA","1.766e-02","1.900e-02","1.884e-02",4
"LPC.O.22.0.","1.502e-02","NA","2.234e-02","1.860e-02","1.844e-02",4
"LPI.20.4...SN2.","1.567e-02","NA","2.234e-02","3.940e-02","3.910e-02",4
"C7_0","1.567e-02","NA","2.390e-02","2.700e-02","2.678e-02",4
"HEX2CER.D18.1.16.0.","1.569e-02","NA","1.645e-02","3.446e-02","3.419e-02",4
"LPC.22.4...SN2.","1.931e-02","NA","2.234e-02","3.940e-02","3.910e-02",4
"C8_0","1.941e-02","NA","2.414e-02","2.290e-02","2.272e-02",4
"ADNI_LAN","1.941e-02","NA","2.234e-02","4.066e-02","4.035e-02",4
"CE.20.1.","1.941e-02","NA","2.388e-02","3.353e-02","3.326e-02",4
"GM3.D18.1.24.0.","2.014e-02","NA","2.767e-02","2.502e-02","2.482e-02",4
"LPC.22.4...SN1.","2.197e-02","NA","2.454e-02","4.023e-02","3.993e-02",4
"L_ASPARTIC_ACID","2.197e-02","NA","2.390e-02","2.663e-02","2.642e-02",4
"C4_0","2.197e-02","NA","2.962e-02","1.892e-02","1.876e-02",4
"GLYCERIC_ACID","2.490e-02","NA","2.767e-02","4.887e-02","4.851e-02",4
"LPC.22.5...SN1...N6.","2.603e-02","NA","2.530e-02","3.446e-02","3.419e-02",4
"PC.O.18.0.18.2.","2.648e-02","NA","2.767e-02","3.725e-02","3.697e-02",4
"LPC.O.18.1.","2.772e-02","NA","2.767e-02","3.728e-02","3.699e-02",4
"HEX2CER.D18.1.22.0.","2.829e-02","NA","2.767e-02","3.446e-02","3.419e-02",4
"C6_0","3.046e-02","NA","4.180e-02","4.106e-02","4.075e-02",4
"PC.O.16.0.20.3.","3.306e-02","NA","4.068e-02","3.907e-02","3.877e-02",4
"CE.24.0.","3.306e-02","NA","3.266e-02","3.940e-02","3.910e-02",4
"PI.18.0_22.4.","3.306e-02","NA","4.333e-02","2.020e-02","2.003e-02",4
"PC.38.4...B.","3.521e-02","NA","4.333e-02","2.312e-02","2.293e-02",4
"AC.20.4.","3.565e-02","NA","3.266e-02","3.940e-02","3.910e-02",4
"LPC.O.20.0.","3.584e-02","NA","4.333e-02","4.106e-02","4.075e-02",4
"PC.16.0_20.3...B.","3.749e-02","NA","4.639e-02","3.940e-02","3.910e-02",4
"LPC.O.16.0.","4.330e-02","NA","4.639e-02","3.940e-02","3.910e-02",4
"PC.18.0_22.4.","4.331e-02","NA","4.754e-02","3.940e-02","3.910e-02",4
"LPC.16.0...SN2.","4.799e-02","4.384e-02","NA","3.940e-02","3.910e-02",4
"LPE.P.18.0.","4.289e-02","NA","NA","1.892e-02","1.876e-02",3
"LPC.19.1...A.","4.290e-02","NA","NA","3.940e-02","3.910e-02",3
"TG.52.3...NL.16.1.","4.620e-02","NA","NA","4.955e-02","4.919e-02",3
"PA.36.3.","4.620e-02","NA","NA","4.106e-02","4.075e-02",3
"UBIQUINONE","NA","4.567e-03","NA","4.315e-02","4.283e-02",3
"PE.P.18.1.18.2...A.","NA","2.493e-02","NA","3.940e-02","3.910e-02",3
"LPC.18.0...SN1.","NA","3.090e-02","NA","3.446e-02","3.419e-02",3
"LPC.19.0...A...SN1...104_SN1.","NA","3.623e-02","NA","4.436e-02","4.403e-02",3
"HEX2CER.D18.1.20.0.","NA","4.384e-02","NA","3.951e-02","3.921e-02",3
"TG.54.4...NL.18.2.","NA","NA","4.853e-02","4.280e-02","4.248e-02",3
"HEX2CER.D18.1.24.0.","3.306e-02","NA","2.997e-02","NA","NA",2
"GM3.D18.1.24.1.","3.749e-02","NA","4.853e-02","NA","NA",2
"LPE.20.4...SN2.","4.289e-02","NA","4.333e-02","NA","NA",2
"PE.P.18.0.20.3...B.","4.620e-02","NA","4.853e-02","NA","NA",2
"AC.12.1.","NA","3.090e-02","4.853e-02","NA","NA",2
"PC.16.0_20.4.","NA","NA","NA","3.353e-02","3.326e-02",2
"AC.20.3...A.","NA","NA","NA","3.940e-02","3.910e-02",2
"PE.P.20.0.20.4.","NA","NA","NA","4.106e-02","4.075e-02",2
"PC.16.0_18.2.","NA","NA","NA","4.122e-02","4.091e-02",2
"LPC.O.22.1.","NA","NA","NA","4.263e-02","4.231e-02",2
"PE.38.5...A.","NA","NA","NA","4.315e-02","4.283e-02",2
"LPC.O.24.2.","NA","NA","NA","4.436e-02","4.403e-02",2
"PE.P.18.1.20.3...B.","NA","NA","NA","4.887e-02","4.851e-02",2
"LPC.20.0...SN2.","NA","NA","NA","4.931e-02","4.896e-02",2
"X__2_METHYLPENTANOIC_ACID","NA","NA","NA","4.931e-02","4.896e-02",2
"LPC.19.0...SN1...B.","4.790e-02","NA","NA","NA","NA",1
"HEX3CER.D18.1.16.0.","NA","1.201e-02","NA","NA","NA",1
"PC.O.16.0.20.4.","NA","2.049e-02","NA","NA","NA",1
"PI.18.1_18.2.","NA","2.049e-02","NA","NA","NA",1
"PC.18.0_22.5...N6.","NA","2.049e-02","NA","NA","NA",1
"LPC.P.16.0.","NA","2.049e-02","NA","NA","NA",1
"LPC.18.0...SN2.","NA","2.493e-02","NA","NA","NA",1
"CER.D18.1.24.0.","NA","2.841e-02","NA","NA","NA",1
"LPC.15.MHDA...SN1....LPC.17.0...SN2.","NA","2.841e-02","NA","NA","NA",1
"LPC.16.1...SN1.","NA","3.090e-02","NA","NA","NA",1
"CER.M18.0.24.0.","NA","3.090e-02","NA","NA","NA",1
"LPC.15.MHDA...SN1...104_SN1.","NA","3.090e-02","NA","NA","NA",1
"PC.18.1_20.3.","NA","4.325e-02","NA","NA","NA",1
"PE.P.16.0.18.2.","NA","4.384e-02","NA","NA","NA",1
"AC.22.6.","NA","4.941e-02","NA","NA","NA",1
"PC.16.0_18.1.","NA","4.941e-02","NA","NA","NA",1
"PC.P.18.0.18.2.","NA","4.941e-02","NA","NA","NA",1
"PE.17.0_20.4.","NA","4.941e-02","NA","NA","NA",1
