"Feature","mRMR","IDI","NRI","F_Test","Wilcoxon","Kendall","hits"
"ADNI_MEM",0.256666775599741,"0.000e+00","2.007e-13","0.000e+00","1.290e-10","1.267e-10",5
"ABETA42",0.0611920678343451,"1.243e-08","2.485e-06","1.641e-08","2.638e-08","2.596e-08",5
"ADAS11",0.0417015915408135,"6.022e-13","3.561e-06","1.719e-10","2.638e-08","2.596e-08",5
"APOE4",0.0391132387472335,"2.595e-05","2.557e-05","7.850e-05","5.135e-04","2.802e-04",5
"LPC.O.20.1.",0.0380573009291312,"7.007e-04","1.693e-02","1.721e-03","1.693e-03","1.675e-03",5
"ADNI_EF",0.03683372579899,"5.389e-06","3.649e-03","1.421e-05","6.438e-05","6.357e-05",5
"LPI.20.4...SN2.",0.036148930470921,"1.567e-02","NA","2.234e-02","3.940e-02","3.910e-02",4
"PTAU",0.0354833017305721,"2.155e-03","2.049e-02","3.557e-03","2.883e-03","2.853e-03",5
"GM3.D18.1.20.0.",0.0335397912387763,"4.556e-03","NA","5.544e-03","1.373e-02","1.360e-02",4
"C7_0",0.0297581488374779,"1.567e-02","NA","2.390e-02","2.700e-02","2.678e-02",4
"PE.P.16.0.22.5...N6.",0.0286492136939949,"4.189e-03","2.493e-02","4.736e-03","1.044e-02","1.034e-02",5
"AC.18.1.",0.0252759218229294,"2.999e-03","3.519e-02","3.621e-03","1.044e-02","1.034e-02",5
"CE.22.0.",0.0244677133737312,"1.184e-02","NA","1.126e-02","1.892e-02","1.876e-02",4
"C8_0",0.0214836800477497,"1.941e-02","NA","2.414e-02","2.290e-02","2.272e-02",4
"C4_0",0.018299944264335,"2.197e-02","NA","2.962e-02","1.892e-02","1.876e-02",4
"HEX2CER.D18.1.16.0.",0.0157411556792534,"1.569e-02","NA","1.645e-02","3.446e-02","3.419e-02",4
"PC.16.0_20.3...B.",0.0154591344941871,"3.749e-02","NA","4.639e-02","3.940e-02","3.910e-02",4
"L_ASPARTIC_ACID",0.0139427526831432,"2.197e-02","NA","2.390e-02","2.663e-02","2.642e-02",4
"PE.P.18.1.20.4...B.",0.0138090569164902,"1.049e-02","4.941e-02","1.508e-02","1.309e-02","1.297e-02",5
"GLYCERIC_ACID",0.00988076048975483,"2.490e-02","NA","2.767e-02","4.887e-02","4.851e-02",4
