Feature,Description
ADAS11,Alzheimer's Disease Assessment Scale 11 items score
ADNI_MEM,ADNI composite score for memory
ADNI_EF,ADNI composite score for executive functioning 
ADNI_LAN,ADNI composite score for language
APOE4,APOE4 carrier status
ABETA42,CSF AB42
PTAU,CSF p-Tau
HEX2CER.D18.1.16.0.,Hex2Cer(d18:1/16:0). Lipid metabolite
HEX2CER.D18.1.20.0.,Hex2Cer(d18:1/20:0). Lipid metabolite
GM3.D18.1.20.0.,GM3(d18:1/20:0). Lipid metabolite
GM1.D18.1.16.0.,GM1(d18:1/16:0). Lipid metabolite
PC.16.0_20.3...B.,PC(16:0_20:3) (b). Lipid metabolite
PC.18.1_18.1.,PC(18:1_18:1). Lipid metabolite
PC.P.20.0.20.4.,PC(P-20:0/20:4). Lipid metabolite
LPC.19.1...B.,LPC(19:1) (b). Lipid metabolite
LPC.22.0...SN1.,LPC(22:0) [sn1]. Lipid metabolite
LPC.O.20.1.,LPC(O-20:1). Lipid metabolite
PE.P.16.0.22.5...N6.,PE(P-16:0/22:5) (n6). Lipid metabolite
PE.P.18.1.20.4...B.,PE(P-18:1/20:4) (b). Lipid metabolite
PE.P.18.1.22.4.,PE(P-18:1/22:4). Lipid metabolite
PI.18.0_20.2.,PI(18:0_20:2). Lipid metabolite
LPI.20.4...SN2.,LPI(20:4) [sn2]. Lipid metabolite
CE.18.2.,CE(18:2). Lipid metabolite
CE.22.0.,CE(22:0). Lipid metabolite
AC.18.1.,AC(18:1). Lipid metabolite
AC.20.4.,AC(20:4). Lipid metabolite
AC.16.1..OH,AC(16:1)-OH. Lipid metabolite
TG.52.3...NL.16.1.,TG(52:3) [NL-16:1]. Lipid metabolite
TG.54.4...NL.18.2.,TG(54:4) [NL-18:2]. Lipid metabolite
L_ASPARTIC_ACID,L-Aspartic acid
GLYCERIC_ACID,Glyceric acid
C4_0,Butyric acid
C6_0,Hexanoic acid
C7_0,Heptanoic acid
C8_0,Caprylic acid
